"Name","Description","Email","Website","Instagram"
"Aa Dekhen Zara Entertainment","Aa Dekhen Zara (ADZ) is an annual South Asian Dance competition hosted by the students of the University of Wisconsin-Madison. We host 8 talented Bollywood-Fusion dance teams from across the nation who compete for first, second, and third place. Our organization consists of an executive board, as well as liaisons and event managers that work hard to run an amazing show. Since its establishment in 2011, ADZ has brought the Madison community a show that displays music and dance in a competitive setting while also giving the people of Madison a taste of South Asian culture. This year, we are excited to host ADZ XV on February 1, 2025.
If you’re interested in being involved with ADZ, reach out to us via email or follow our social media to stay updated!","adzentertainment@gmail.com","http://adzentertainment.com","No Instagram available"
"Acacia Fraternity - Lamedth Chapter","Acacia is a social fraternity dedicated to human service. We are dedicated to bettering the community we are a part of and sharing a brotherhood we will remember for the rest of our lives. We are a fraternity that is focused on the strength of brotherhood. By selecting key members of the Madison community, we build a brotherhood dedicated to human service for both the community and ourselves. These members are selected through the IFC-regulated RUSH process in which members are first bid followed by a pledge process. We are a non-hazing fraternity built on the idea that disrespect to any possible future member or person is strictly against our goals and morals. All leaders of the Acacia Fraternity are elected by the active members and must be students of the University of Wisconsin-Madison.","acaciawisco@gmail.com","https://acaciawisco.org/","No Instagram available"
"Academy of Managed Care Pharmacy Student Chapter at UW Madison","AMCP is a national professional organization of pharmacists and other health care providers that aims to improve patient outcomes through the merger of both clinical and business knowledge. The student chapter allows those interested to learn more about this subset of pharmacy.
The student chapter seeks to provide students with a greater understanding of the field of managed care pharmacy. Students are provided multiple opportunities to strengthen their knowledge of this area, such as engaging with speakers who are current professionals in the field as well as participating in a national pharmacy and therapeutics competition.","jtwhitbeck@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/amcpuwmadison/contact","No Instagram available"
"Actuarial Club - UW Madison","The Actuarial Club is a student-run organization for those interested in or majoring in actuarial science. A career in actuarial science utilizes a person’s knowledge of math, economics, finance, and risk theory in the business world. Our members range in age from first-year students to graduate students. We encourage interaction among students, faculty, and industry professionals in the actuarial field. We have weekly events including networking with employers, socials, volunteering, mentorship program, intramural sports and more! 
The Actuarial Club strives to:
Provide members with a better understanding of the actuarial field
Create the opportunity to build relationships among actuarial students and faculty
Encourage relationships between students and actuarial professionals
Expose students to professional applications of actuarial science
Provide resources for students taking actuarial exams
Engage in positive community volunteer work
In order to join the Actuarial Club, first join our mailing list by sending an email to our VP of Communications: Anthony Krebsbach at ajkrebsbach@wisc.edu.
Our dues are $35 for the academic year and are payable to our VP of Finance, Alex Zylka, at any event prior to the sign-up deadline.
  Keep your page updated in our actuarial database with exams you're sitting for and have passed as well as internships and full-time positions you've accepted. Here is a link to our database: https://apps.bus.wisc.edu/actuarialevent/.
  Additional questions/requests can be addressed to any of the following Club Officers:
Sarah Bloemer (President) - sbloemer@wisc.edu
Jodie Lam (VP Educational Enrichment) - kklam2@wisc.edu
Anthony Krebsbach (VP Communications) - ajkrebsbach@wisc.edu
Aidan Bandte (VP Member Relations) - bandte@wisc.edu
Ethan Farr (VP Social Media and Marketing) - ejfarr@wisc.edu
Alexander Zylka (VP Finance) - aczylka@wisc.edu
Stephanie Hayd (VP of Diversity, Equity, and Inclusion) - hayd@wisc.edu","actsciclub@wsb.wisc.edu","https://www.actuarialclubuw.org/","No Instagram available"
"Advancing Diversity and Excellence in Physical Therapy","Advancing Diversity and Excellence in Physical Therapy (ADEPT) develops and supports pathways to excellence for young people from groups currently underrepresented in the physical therapy profession.
ADEPT also strives to foster a strong community of physical therapy students who are knowledgeable about the experiences of underrepresented peoples and equipped to address health disparities.
ADEPT members will:
Conduct community outreach through programs that promote diversity in higher education
Plan activities for young people designed to inform them about the PT profession
Offer students a forum to discuss issues that will increase their ability to effectively provide culturally sensitive care and address health disparities
Develop diverse programmatic initiatives with the goal of increasing the cultural competency of the DPT student body 
Support group members’ goals to advance diversity in the health sciences through peer-to-peer mentorship and resource sharing","ADEPT.uw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/adept/contact","https://www.instagram.com/adeptuwm/"
"Adventist Christian Fellowship - Madison","Hey there, we are so glad you've visited our page!
We are UW-Madison students who at some point in our lives started to ask deep questions and wonder about God and such things, and then experienced that God is actually a loving and good God, and, thus, we really want to share with others the life-changing power of the Bible here, on campus, in our busy, everyday lives, which can be full of problems, worries, and struggles.
Why is it cool?) The acronym ""ACF"" explains it very well, though it may seem hard to understand at first:
A - Adventist. Adventists emphasize that the imminent second coming (""advent"") of Jesus gives hope to each one of us because this will be the day when our whole life, regardless of how it was, can be made perfect, and we can become fully happy, just as God planned it to be.
C - Christian. Christians know that Jesus loved each person, each identity, and each individual so much, that He decided to give up everything (including His life) so that we may be restored, and our lives - fulfilled. This focus on His amazing love is something that can truly change your life and ours.
F - Fellowship. We all have a deep longing for a community and fellowship, and no one likes to feel alone or excluded, though this often happens on such a big campus as ours. But when we get to know God's love, we are so filled with it that we naturally tend (and are able) to share this gift with our community, while being focused on Jesus. No community becomes more united than the one where God is at the center.
  Still wondering what all these words like ""God's love"", ""fulfillment"", ""true community"" or ""belonging"" mean?
Come and join our next event, and you'll figure it out!
If you have any questions about our organization, please email Slava C. (primary contact) at cherempei@wisc.edu.","cherempei@wisc.edu","https://uwmadison.campuslabs.com/engage/organization/acf-m/contact","No Instagram available"
"Adventure Learning Programs","ALPs challenges people through adventure-based team building workshops using group games, initiatives, high and low ropes courses, and other challenges to learn more about themselves and one another. ALPs recognizes diversity and unity in all groups and facilitates dialogue toward understanding these qualities based on common human values. Through ground, roving, high and low ropes workshops, ALPs seeks to help all UW student groups become more effective, productive and unified through shared experiences. ALPs works to create a strong sense of community among all members of the UW-Madison area.
  Workshops are free of charge to all registered UW-Madison students.  Complete our workshop request form to request a workshop. Visit recwell.wisc.edu/alps/ for more information about our workshops we offer!
  ALPs is a student organization as well as a job.  To join our organization, you need to be hired as a facilitator.  We hire at the beginning of each Fall and Spring semester with applications due at the end of September or first week in October with new staff hired by Thanksgiving. We also hiring starting in early February! Contact us at alps@studentaffairs.wisc.edu in August or January if you are interested in joining our talented group of facilitators.","alps@studentaffaris.wisc.edu","https://recwell.wisc.edu/alps/","No Instagram available"
"Advertising Club","So you’ve found our awesome club? Here’s a brief overview on why you should join!
OUR GOAL: Build the next generation of advertising professionals. 
HOW: By preparing our members for the advertising world with unique and formative experiences, similar to that of an agency. 
WHO WE ARE: A creative, unique and welcoming group of students looking to challenge ourselves, make connections and share our passion for advertising! 
WEEKLY MEETINGS: At our weekly meetings, you'll hear from advertising professionals about their climb to the top, day-to-day experiences and award-winning campaigns. They will also share secrets to breaking into the industry, provide tips and skills for success, and share creative work samples.
AD CLUB AGENCY: Working on your portfolio? In addition to our general meetings, Ad Club also has sub-group we call our ""agency."" Anyone can join agency as long as they pay general Ad Club membership dues. Ad Club agency meets on a weekly basis, and students are assigned to different “clients” based on their specialized interests in advertising. The agency groups work on an integrated campaign for another student organization or local business, their ""client,"" for the semester.
SOCIALS: While Ad Club's focus is professional, we're not shy about having fun. Our socials are great ways to meet other members and network – other people who will one day be your friends, colleagues or bosses.","adclubwisc@gmail.com","https://uwmadison.campuslabs.com/engage/organization/adclub/contact","https://www.instagram.com/adclubwisc"
"Advocates for Alzheimer's","Advocates for Alzheimer's is an organization for all UW-Madison students interested in learning more and raising awareness about Alzheimer's disease. Our mission is to increase awareness for Alzheimer's and raise funds to find a cure for this disease. AFA will provide education to young family members affected by Alzheimer's disease and will enable students to share their experiences with each other.","afa@rso.wisc.edu","https://uwmadison.campuslabs.com/engage/organization/afa/contact","https://www.instagram.com/afabadger/"
"Advocates for Immigrants' Rights","The purpose of Advocates for Immigrants’ Rights (AIR) is to represent the interests of students advocating for immigrants’ rights through networking, community outreach, education, and mentorship.","air.uwlaw@gmail.com","https://uwmadison.campuslabs.com/engage/organization/advocatesforimmigrantsrights/contact","https://www.instagram.com/airwisco/"
